Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
rastrigin_modified,50,20,0.5,12.65674530166605,184.37560763660758,6.67276853028552,0.020004749298095703
rastrigin_modified,50,20,1.0,26.014868895313136,203.29253935111072,14.825112443399448,0.013521671295166016
rastrigin_modified,50,20,1.5,15.349238307899348,153.28828918847256,14.99188016711163,0.011989831924438477
rastrigin_modified,50,20,2.0,22.07771588484486,210.6593908924968,24.08422555907692,0.01400303840637207
rastrigin_modified,50,50,0.1,8.045059218313131,220.3023717474299,21.988949827840834,0.027531862258911133
rastrigin_modified,50,50,0.2,15.625827880749895,218.08521922812184,26.133707776831148,0.025005102157592773
rastrigin_modified,50,50,0.5,19.121288016176756,211.61843883326839,12.118839831573899,0.027006149291992188
rastrigin_modified,50,50,1.0,8.623857638894503,199.3504674876485,24.218141846588715,0.02500605583190918
rastrigin_modified,50,50,1.5,2.228133112896419,212.44109403118838,17.271591427273034,0.023005008697509766
rastrigin_modified,50,50,2.0,17.411484227965637,201.98700607491992,13.072692981118163,0.021004676818847656
rastrigin_modified,50,100,0.1,4.92279905052076,218.89168815396468,23.389848682303327,0.04200935363769531
rastrigin_modified,50,100,0.2,11.86408527560696,220.55469736872618,16.638012193621094,0.038008689880371094
rastrigin_modified,50,100,0.5,14.904307913486118,220.90430067026927,19.36483011754376,0.038008689880371094
rastrigin_modified,50,100,1.0,10.729689543835136,212.45441534771908,26.75127500562106,0.0400087833404541
rastrigin_modified,50,100,1.5,8.82745206632243,217.7094452774184,28.02869632860992,0.038008928298950195
rastrigin_modified,50,100,2.0,2.6486625295398625,218.72966922578888,27.703382610502555,0.04701042175292969
rastrigin_modified,100,5,0.1,20.621382752156492,58.35769277770414,0.8825318247936668,0.0050013065338134766
rastrigin_modified,100,5,0.2,3.158870464977255,102.59500395713485,2.072079796816498,0.005001068115234375
rastrigin_modified,100,5,0.5,38.843434685389774,122.99644269292708,2.3019661804344254,0.005001068115234375
rastrigin_modified,100,5,1.0,29.647995660433935,111.16147566464616,2.7580541303414297,0.00800180435180664
rastrigin_modified,100,5,1.5,17.523195613232872,191.70394161122366,0.0,0.006001710891723633
rastrigin_modified,100,5,2.0,48.26286197703224,129.562768441121,8.613277607613936,0.00600123405456543
rastrigin_modified,100,10,0.1,14.66922935322074,190.90697657758338,2.16035399024753,0.00800180435180664
rastrigin_modified,100,10,0.2,5.5965421770735,183.1261307688572,3.6623457530720254,0.010002374649047852
rastrigin_modified,100,10,0.5,7.236724211466742,166.63963038245768,8.043287867885052,0.009001970291137695
rastrigin_modified,100,10,1.0,13.081075797759272,210.21713653010744,7.974360013223629,0.01000213623046875
rastrigin_modified,100,10,1.5,28.580291492737246,181.28336518876228,11.522539897616518,0.011002302169799805
rastrigin_modified,100,10,2.0,61.07642661191631,210.0770334197897,23.544729300293145,0.008002042770385742
rastrigin_modified,100,20,0.1,26.78948003151186,181.02357541160632,3.564789487392126,0.012003660202026367
rastrigin_modified,100,20,0.2,18.919283027060942,173.22811437299498,15.00995348451916,0.011002540588378906
rastrigin_modified,100,20,0.5,22.3419679744846,209.12229026575312,10.341830152612578,0.011002302169799805
rastrigin_modified,100,20,1.0,16.927136149926056,217.4417229272009,20.057546017237794,0.01300358772277832
rastrigin_modified,100,20,1.5,34.64954203561458,199.40175466044013,11.103826236151905,0.012001752853393555
rastrigin_modified,100,20,2.0,11.800598757584712,191.1986781883877,16.82537455225652,0.021004676818847656
rastrigin_modified,100,50,0.1,9.910268982121407,220.6188004205895,15.735146051726126,0.027005672454833984
